Project_ID,Project_Name,Project_Type,Region,State,Client_Type,Contract_Type,Delivery_Method,Complexity_Level,Digital_Coordination_Level,Owner_Decision_Profile,Start_Date,Snapshot_Date,Snapshot_Year,Original_Budget,Planned_Duration_Days,Planned_Percent_Complete,Actual_Percent_Complete,CPI_Snapshot,SPI_Snapshot,Cost_Variance_Pct_Snapshot,Schedule_Variance_Days_Snapshot,Labor_Productivity_Index,Procurement_Delay_Days_to_Date,Weather_Impact_Days_to_Date,Safety_Incident_Rate_to_Date,Snapshot_Data_Completeness_Pct
PRJ3-00001,Northstar Office Campus 1,Commercial,Midwest,MO,Private,Lump Sum,IPD,Moderate,Low,Standard,2019-02-13,2019-09-27,2019,179343700,644,0.352,0.3522,0.9801,0.9963,-0.0066,0,0.9394,27,14,0.12,0.9589
PRJ3-00002,Summit Bridge Program 2,Heavy Civil,Southwest,TX,Private,Lump Sum,Design-Build,Moderate,High,Standard,2021-03-24,2022-07-23,2022,295846200,1031,0.472,0.4988,1.126,1.0422,-0.0661,-28,1.08,0,3,0.311,0.9759
PRJ3-00003,Copper Town Center 3,Mixed-Use,Northeast,CT,Public,Lump Sum,Design-Bid-Build,Very High,Moderate,Standard,2020-11-07,2021-10-26,2021,124592300,832,0.425,0.3854,0.946,0.911,0.0222,33,0.9992,35,22,1.019,0.9481
PRJ3-00004,Northstar Residences 4,Residential,Southeast,VA,Private,Lump Sum,Design-Build,High,Low,Fast,2023-09-20,2024-10-01,2024,57332900,785,0.481,0.4311,1.0281,0.9183,-0.011,39,0.8973,11,17,0.585,0.9661
PRJ3-00005,Liberty Earthworks Package 5,Heavy Civil,Southeast,VA,Private,Lump Sum,Design-Build,Low,High,Standard,2020-03-08,2021-05-28,2021,237166000,1069,0.418,0.435,1.0504,1.0362,-0.0165,-18,1.0485,26,10,0.351,0.9644
PRJ3-00006,Aspen Marketplace 6,Commercial,Southeast,NC,Private,Lump Sum,Design-Build,Low,Low,Standard,2023-09-08,2024-06-14,2024,119377400,619,0.453,0.4137,0.9916,0.9666,0.0038,24,0.9965,0,0,0.361,0.971
PRJ3-00007,Canyon Public Works Program 7,Infrastructure,Mountain,CO,Public,Cost Plus,Design-Bid-Build,Low,Moderate,Fast,2020-04-11,2021-11-23,2021,297967400,1131,0.523,0.5977,1.0222,1.12,-0.0201,-84,1.0369,7,16,0.279,0.9566
PRJ3-00008,Harbor Urban Village 8,Mixed-Use,West,WA,Public-Private Partnership,Lump Sum,Design-Build,Moderate,Moderate,Standard,2023-11-12,2024-10-11,2024,133566500,877,0.381,0.3648,0.9186,0.9552,0.0413,14,0.996,26,2,0.759,0.9491
PRJ3-00009,Crescent Medical Center 9,Institutional,Midwest,OH,Private,Unit Price,CMAR,Moderate,High,Standard,2019-07-26,2020-10-09,2020,204654400,1026,0.43,0.4773,1.0413,1.0888,-0.0158,-49,1.0264,2,22,0.769,0.9485
PRJ3-00011,Northstar Logistics Center 11,Industrial,Midwest,MN,Public,Lump Sum,CMAR,Moderate,High,Slow,2021-06-20,2022-06-14,2022,96090500,865,0.416,0.389,0.9705,0.9181,0.0124,23,1.0783,21,12,0.403,0.9596
PRJ3-00012,Mesa Water Program 12,Heavy Civil,Mountain,WY,Private,Lump Sum,Design-Build,Very High,High,Slow,2018-07-16,2020-05-16,2020,83257900,1290,0.52,0.5014,0.9633,0.9058,0.022,24,0.9504,14,18,0.649,0.9658
PRJ3-00013,Aspen Civic Complex 13,Institutional,Southeast,GA,Private,Cost Plus,Design-Bid-Build,Very High,Moderate,Fast,2024-02-25,2024-12-25,2024,144354900,822,0.37,0.3281,0.8704,0.936,0.0709,34,0.9068,17,22,1.2,0.9465
PRJ3-00014,Liberty Residences 14,Residential,Southeast,GA,Private,Unit Price,Design-Bid-Build,Very High,Low,Standard,2018-03-21,2019-01-16,2019,36517200,619,0.487,0.4637,0.8172,0.9512,0.1044,14,0.8585,30,26,1.044,0.9461
PRJ3-00015,Lakeview Residences 15,Residential,West,CA,Public,Lump Sum,IPD,Low,High,Slow,2020-03-02,2020-12-23,2020,9406600,629,0.471,0.5202,0.9583,1.0529,-0.0016,-31,1.001,23,6,0.354,0.9614
PRJ3-00016,Evergreen Education Center 16,Institutional,Midwest,OH,Public,Lump Sum,Design-Bid-Build,High,Moderate,Slow,2019-06-16,2020-04-12,2020,140073700,620,0.487,0.433,0.8707,0.9518,0.0601,33,0.9145,31,22,0.972,0.9474
PRJ3-00017,Liberty Transit-Oriented Development 17,Mixed-Use,Mountain,MT,Public,Lump Sum,CMAR,High,Moderate,Standard,2020-08-09,2021-12-22,2021,181743400,971,0.515,0.484,0.9188,0.9281,0.0637,30,0.9917,18,11,0.88,0.9548
PRJ3-00018,Crescent Utility Corridor 18,Infrastructure,Southwest,AZ,Private,Lump Sum,IPD,High,High,Slow,2019-12-13,2021-07-09,2021,94165600,1084,0.53,0.4546,0.8885,0.8437,0.0516,82,0.9276,0,15,0.746,0.9574
PRJ3-00019,Harbor Neighborhood 19,Residential,Midwest,OH,Private,Unit Price,Design-Bid-Build,Low,Low,Standard,2024-12-06,2025-08-19,2025,54464000,678,0.378,0.3157,0.8427,0.8147,0.0509,42,0.9626,0,19,0.766,0.9509
PRJ3-00020,Canyon Logistics Center 20,Industrial,Northeast,NY,Public,Lump Sum,CMAR,Moderate,Moderate,Slow,2022-03-11,2023-09-17,2023,94370000,971,0.572,0.548,0.9405,0.9263,0.0462,23,0.9328,11,19,1.046,0.9523
PRJ3-00021,Pioneer Research Facility 21,Institutional,Southeast,FL,Private,Guaranteed Maximum Price,Design-Bid-Build,High,High,Standard,2021-08-08,2022-10-19,2022,119545900,910,0.481,0.4477,1.0568,0.9333,-0.0128,30,0.8318,17,13,0.495,0.9573
PRJ3-00022,Redwood Apartments 22,Residential,Midwest,MN,Private,Guaranteed Maximum Price,Design-Build,High,Low,Slow,2022-01-16,2022-08-10,2022,26541300,448,0.461,0.37,0.8629,0.8534,0.0534,41,0.9253,8,19,0.603,0.9685
PRJ3-00023,Aspen Airport Improvements 23,Infrastructure,Midwest,OH,Public-Private Partnership,Lump Sum,Design-Bid-Build,Moderate,Low,Standard,2023-10-06,2024-12-26,2024,210228700,1253,0.357,0.3089,0.821,0.8552,0.0445,60,0.8028,24,12,0.906,0.9707
