Project_Type,Region,State,Client_Type,Contract_Type,Delivery_Method,Complexity_Level,Digital_Coordination_Level,Owner_Decision_Profile,Original_Budget,Planned_Duration_Days,Planned_Percent_Complete,Actual_Percent_Complete,CPI_Snapshot,SPI_Snapshot,Cost_Variance_Pct_Snapshot,Schedule_Variance_Days_Snapshot,Labor_Productivity_Index,Procurement_Delay_Days_to_Date,Weather_Impact_Days_to_Date,Safety_Incident_Rate_to_Date,Snapshot_Data_Completeness_Pct,RFI_Count_to_Date,RFI_Count_per_10M,Avg_RFI_Response_Days,RFI_On_Time_Rate,Overdue_RFI_Rate,High_Critical_Overdue_Rate,RFI_Revision_Rate,RFI_Reopen_Rate,RFI_to_Change_Rate,Approved_Change_Value_Pct_Budget,Pending_Change_Exposure_Pct_Budget,Change_Approval_Cycle_Days,Old_Pending_Change_Rate,Forecast_Incorporation_Lag_Days,Contingency_Utilization_Pct,Revision_Loop_Rate,Workflow_Handoff_Rate,Workflow_Risk_Score_Snapshot,Project_ID,Project_Name
Railways,West,GJ,Public,Lump Sum,Design-Build,Very High,High,Standard,1080000000,1825,0.6216,0.6216,0.8423,1.0,-0.1577,0,1.0,0,0,0.0,0.98,120,1.11,5.0,0.85,0.15,0.02,0.05,0.01,0.10,0.0,0.0,15.0,0.1,2.0,0.2,0.1,0.2,2,MOSPI-RAIL-01,MUMBAI-AHMEDABAD HIGH SPEED RAIL PROJECT-508 KM
Urban Public Transport,South,TN,Public,EPC,Design-Build,High,High,Standard,632460000,1460,0.5573,0.5573,0.5486,1.0,-0.4514,0,0.95,10,5,0.1,0.95,85,1.34,6.0,0.80,0.20,0.03,0.08,0.02,0.12,0.0,0.0,18.0,0.15,3.0,0.25,0.12,0.22,3,MOSPI-METRO-02,CHENNAI METRO RAIL PHASE-II DEVELOPMENT PROJECT
Railways,West,GJ,Public,Item Rate,Design-Bid-Build,High,Moderate,Standard,511010000,2190,0.96,0.96,1.005,1.0,0.005,0,1.02,0,0,0.0,0.99,150,2.94,4.0,0.90,0.10,0.01,0.04,0.01,0.08,0.1429,0.0,12.0,0.08,1.5,0.15,0.08,0.18,1,MOSPI-RAIL-03,WESTERN DEDICATED FREIGHT CORRIDOR
Oil & Gas,Central,MP,Public,Lump Sum,EPC,Very High,High,Standard,433670000,1095,0.335,0.335,0.1408,1.0,-0.8592,0,0.9,15,10,0.05,0.92,45,1.04,7.0,0.78,0.22,0.04,0.09,0.03,0.15,0.0,0.0,20.0,0.2,4.0,0.3,0.15,0.25,4,MOSPI-PETRO-04,ETHYLENE CRACKER PROJECT AT BINA REFINERY
Oil & Gas,West,RJ,Public,EPC,Design-Build,Very High,High,Standard,431290000,1825,0.92,0.92,0.5428,1.0,-0.4572,0,0.96,12,8,0.08,0.94,95,2.2,5.5,0.82,0.18,0.02,0.07,0.02,0.11,0.8424,0.0,16.0,0.12,2.2,0.22,0.11,0.21,3,MOSPI-PETRO-05,RAJASTHAN REFINERY PROJECT (HPCL)
Electricity Generation,North,UP,Public,Cost Plus,Design-Bid-Build,Very High,Low,Slow,383580000,1825,0.0002,0.0002,0.0261,1.0,-0.9739,0,0.85,45,30,0.2,0.88,20,0.52,10.0,0.65,0.35,0.08,0.12,0.05,0.20,0.0,0.0,30.0,0.3,5.0,0.4,0.2,0.3,5,MOSPI-POWER-06,MEJA THERMAL POWER PROJECT STAGE-II
Oil & Gas,North,HR,Public,EPC,Design-Build,High,Moderate,Standard,346270000,1095,0.943,0.943,0.7731,1.0,-0.2269,0,0.98,5,2,0.0,0.96,60,1.73,5.5,0.82,0.18,0.02,0.06,0.01,0.10,0.0461,0.0,14.0,0.1,2.0,0.18,0.1,0.2,2,MOSPI-PETRO-07,CAPACITY EXPANSION OF PANIPAT REFINERY
Oil & Gas,South,AP,Public,Lump Sum,EPC,Very High,High,Standard,340120000,1460,0.969,0.969,0.9759,1.0,-0.0241,0,1.0,0,12,0.1,0.97,75,2.21,4.5,0.88,0.12,0.01,0.05,0.01,0.09,0.0,0.0,13.0,0.09,1.8,0.16,0.09,0.19,1,MOSPI-PETRO-08,KG-DWN-98/2 CLUSTER-II DEVELOPMENT PROJECT
Real Estate,North,DL,Public,Lump Sum,Design-Build,Moderate,Moderate,Standard,328500000,1825,0.47,0.47,0.912,1.0,-0.088,0,0.94,20,10,0.02,0.93,110,3.35,6.0,0.79,0.21,0.03,0.06,0.02,0.13,-0.0003,0.0,17.0,0.14,3.1,0.24,0.13,0.23,3,MOSPI-HOUS-09,REDEVELOPMENT OF SEVEN GPRA COLONIES IN DELHI
Electricity Generation,North-East,AR,Public,EPC,Design-Build,Very High,Moderate,Slow,318760000,2190,0.1793,0.1793,0.1544,1.0,-0.8456,0,0.88,60,45,0.3,0.85,30,0.94,9.0,0.70,0.30,0.06,0.10,0.04,0.18,0.0,0.0,25.0,0.25,4.5,0.35,0.18,0.28,4,MOSPI-POWER-10,DIBANG MULTIPURPOSE PROJECT
Railways,North,UP,Public,Item Rate,Design-Bid-Build,High,Moderate,Standard,303580000,2190,0.98,0.98,0.991,1.0,-0.009,0,1.01,2,0,0.0,0.98,135,4.45,4.2,0.89,0.11,0.01,0.04,0.01,0.08,0.8677,0.0,12.5,0.08,1.6,0.15,0.08,0.18,1,MOSPI-RAIL-11,EASTERN DEDICATED FREIGHT CORRIDOR
Urban Public Transport,South,KA,Public,EPC,Design-Build,High,High,Standard,264050000,1825,0.782,0.782,0.745,1.0,-0.255,0,0.96,15,10,0.05,0.95,90,3.41,5.2,0.83,0.17,0.02,0.06,0.02,0.10,0.1625,0.0,15.5,0.11,2.4,0.21,0.11,0.20,2,MOSPI-METRO-12,BANGALORE METRO RAIL PROJECT PHASE-2
Urban Public Transport,West,RJ,Public,EPC,Design-Build,High,Moderate,Slow,130376600,1460,0.05,0.05,0.12,1.0,-0.88,0,0.82,40,15,0.1,0.86,15,1.15,8.5,0.68,0.32,0.07,0.11,0.04,0.17,0.0,0.0,28.0,0.28,4.8,0.38,0.19,0.29,5,MOSPI-METRO-13,JAIPUR METRO RAIL PROJECT PHASE 2
Roads & Highways,North,JK,Public,Item Rate,Design-Bid-Build,High,Moderate,Standard,68090000,1825,0.688,0.688,0.525,1.0,-0.475,0,0.92,20,60,0.15,0.94,40,5.87,6.0,0.80,0.20,0.03,0.07,0.02,0.11,0.0,0.0,16.0,0.12,2.5,0.22,0.11,0.21,3,MOSPI-ROAD-14,ZOJI-LA TUNNEL ACROSS ZOJILA PASS ON NH-01
Electricity Generation,North-East,AR,Public,EPC,Design-Build,Very High,Moderate,Slow,62853300,2555,0.885,0.885,0.81,1.0,-0.19,0,0.91,25,50,0.2,0.92,55,8.75,7.5,0.76,0.24,0.05,0.09,0.03,0.14,2.3804,0.0,22.0,0.2,3.8,0.32,0.16,0.26,4,MOSPI-POWER-15,SUBANSIRI LOWER HYDROELECTRIC PROJECT (2000 MW)
Roads & Highways,East,BR,Public,EPC,Design-Build,Moderate,Low,Standard,62920000,1095,0.2205,0.2205,0.219,1.0,-0.781,0,0.90,30,20,0.05,0.91,25,3.97,7.0,0.75,0.25,0.05,0.08,0.03,0.14,-0.4673,0.0,18.0,0.18,3.5,0.28,0.14,0.24,3,MOSPI-ROAD-16,PATNA RING ROAD 6L BRIDGE GANGA RIVER
Metals & Mining,East,OD,Public,EPC,Design-Build,High,Moderate,Standard,41030000,1460,0.94,0.94,0.88,1.0,-0.12,0,0.97,8,5,0.0,0.95,48,11.7,5.0,0.84,0.16,0.02,0.05,0.01,0.09,0.3836,0.0,14.5,0.1,2.1,0.19,0.1,0.19,2,MOSPI-PETRO-17,EXPANSION OF ALUMINA REFINERY PLANT (NALCO)
Steel,Central,CG,Public,EPC,Design-Build,High,Low,Standard,29070000,1825,0.94,0.94,0.865,1.0,-0.135,0,0.95,12,15,0.05,0.93,35,12.04,5.8,0.81,0.19,0.03,0.07,0.02,0.11,0.8669,0.0,16.5,0.13,2.8,0.23,0.12,0.22,3,MOSPI-PETRO-18,NMDC SLURRY PIPELINE PROJECT PHASE-1
Oil & Gas,South,AP,Public,Lump Sum,EPC,Moderate,Moderate,Standard,28100000,1095,1.0,1.0,1.0,1.0,0.0,0,1.0,0,0,0.0,0.99,30,10.68,4.0,0.92,0.08,0.01,0.03,0.0,0.07,0.0,0.0,11.0,0.05,1.2,0.12,0.06,0.15,1,MOSPI-PETRO-19,SRIKAKULAM-ANGUL GAS PIPELINE PROJECT
Roads & Highways,North,HR,Public,EPC,Design-Build,Moderate,High,Standard,22983700,730,1.0,1.0,1.0,1.0,0.0,0,1.01,0,0,0.0,0.99,28,12.18,3.8,0.94,0.06,0.01,0.03,0.0,0.06,0.0,0.0,10.5,0.04,1.0,0.1,0.05,0.13,1,MOSPI-ROAD-20,DWARKA EXPRESSWAY PACKAGE III
